order_id,date,product_id,product_name,price,currency,category_id,category_name,subcategory_id,subcategory_name,store_id,store_name,city_id,city_name,country_id,country
QNN-19269,02/10/2022,P021,Recovery Roller Deluxe,39.99,USD,C04,Recovery and Wellness,SC11,Foam Rollers,S001,FitGear Hub,NY,New York,US,United States
QNN-19269,02/10/2022,P023,PulseRelief Massage Gun,199.99,USD,C04,Recovery and Wellness,SC12,Massage Guns,S001,FitGear Hub,NY,New York,US,United States
QNN-19269,02/10/2022,P020,Door Anchor Straps,24.99,USD,C03,Functional Fitness,SC10,Suspension Trainers,S001,FitGear Hub,NY,New York,US,United States
QNN-19269,02/10/2022,P011,Adjustable Bench Pro,249.99,USD,C02,Strength Training,SC06,Weight Benches,S001,FitGear Hub,NY,New York,US,United States
TFA-40365,25/10/2021,P026,Extra Thick Exercise Mat,49.99,GBP,C04,Recovery and Wellness,SC13,Yoga Mats,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
TFA-40365,25/10/2021,P022,Trigger Point Grid Roller,59.99,GBP,C04,Recovery and Wellness,SC11,Foam Rollers,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
TFA-40365,25/10/2021,P024,Mini Percussion Massager,79.99,GBP,C04,Recovery and Wellness,SC12,Massage Guns,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
TFA-40365,25/10/2021,P011,Adjustable Bench Pro,249.99,GBP,C02,Strength Training,SC06,Weight Benches,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
AQN-95165,16/01/2021,P015,FlexForce Band Kit,49.99,USD,C03,Functional Fitness,SC08,Resistance Bands,S003,Strength Central,CH,Chicago,US,United States
PSG-64239,16/06/2020,P001,Pro Runner 3000,1299.99,GBP,C01,Cardio Equipment,SC01,Treadmills,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
PSG-64239,16/06/2020,P020,Door Anchor Straps,24.99,GBP,C03,Functional Fitness,SC10,Suspension Trainers,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
PSG-64239,16/06/2020,P016,Heavy Duty Resistance Tubes,39.99,GBP,C03,Functional Fitness,SC08,Resistance Bands,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
OAT-63948,25/07/2023,P018,Adjustable Kettlebell,149.99,USD,C03,Functional Fitness,SC09,Kettlebells,S003,Strength Central,CH,Chicago,US,United States
OAT-63948,25/07/2023,P025,Premium Yoga Mat,69.99,USD,C04,Recovery and Wellness,SC13,Yoga Mats,S003,Strength Central,CH,Chicago,US,United States
IAY-77502,05/02/2020,P026,Extra Thick Exercise Mat,49.99,GBP,C04,Recovery and Wellness,SC13,Yoga Mats,S004,Elite Gym Supply,LO,London,UK,United Kingdom
IAY-77502,05/02/2020,P005,Glide Elite Elliptical,999.99,GBP,C01,Cardio Equipment,SC03,Ellipticals,S004,Elite Gym Supply,LO,London,UK,United Kingdom
IAY-77502,05/02/2020,P024,Mini Percussion Massager,79.99,GBP,C04,Recovery and Wellness,SC12,Massage Guns,S004,Elite Gym Supply,LO,London,UK,United Kingdom
IAY-77502,05/02/2020,P003,SpinMaster Bike,799.99,GBP,C01,Cardio Equipment,SC02,Exercise Bikes,S004,Elite Gym Supply,LO,London,UK,United Kingdom
IAY-77502,05/02/2020,P014,Leg Press Machine,899.99,GBP,C02,Strength Training,SC07,Weight Machines,S004,Elite Gym Supply,LO,London,UK,United Kingdom
JOH-53793,02/01/2023,P013,Multi-Gym Station,1499.99,GBP,C02,Strength Training,SC07,Weight Machines,S004,Elite Gym Supply,LO,London,UK,United Kingdom
JOH-53793,02/01/2023,P017,Cast Iron Kettlebell 16kg,59.99,GBP,C03,Functional Fitness,SC09,Kettlebells,S004,Elite Gym Supply,LO,London,UK,United Kingdom
JOH-53793,02/01/2023,P003,SpinMaster Bike,799.99,GBP,C01,Cardio Equipment,SC02,Exercise Bikes,S004,Elite Gym Supply,LO,London,UK,United Kingdom
JOH-53793,02/01/2023,P002,EconoTread,699.99,GBP,C01,Cardio Equipment,SC01,Treadmills,S004,Elite Gym Supply,LO,London,UK,United Kingdom
JOH-53793,02/01/2023,P016,Heavy Duty Resistance Tubes,39.99,GBP,C03,Functional Fitness,SC08,Resistance Bands,S004,Elite Gym Supply,LO,London,UK,United Kingdom
OQS-86591,21/05/2021,P018,Adjustable Kettlebell,149.99,USD,C03,Functional Fitness,SC09,Kettlebells,S001,FitGear Hub,NY,New York,US,United States
OQS-86591,21/05/2021,P026,Extra Thick Exercise Mat,49.99,USD,C04,Recovery and Wellness,SC13,Yoga Mats,S001,FitGear Hub,NY,New York,US,United States
OQS-86591,21/05/2021,P005,Glide Elite Elliptical,999.99,USD,C01,Cardio Equipment,SC03,Ellipticals,S001,FitGear Hub,NY,New York,US,United States
OQS-86591,21/05/2021,P007,AquaRow 500,899.99,USD,C01,Cardio Equipment,SC04,Rowing Machines,S001,FitGear Hub,NY,New York,US,United States
EZK-98236,28/03/2021,P011,Adjustable Bench Pro,249.99,GBP,C02,Strength Training,SC06,Weight Benches,S004,Elite Gym Supply,LO,London,UK,United Kingdom
BZP-61884,13/09/2022,P006,Compact Cross Trainer,549.99,USD,C01,Cardio Equipment,SC03,Ellipticals,S003,Strength Central,CH,Chicago,US,United States
BZP-61884,13/09/2022,P023,PulseRelief Massage Gun,199.99,USD,C04,Recovery and Wellness,SC12,Massage Guns,S003,Strength Central,CH,Chicago,US,United States
BZP-61884,13/09/2022,P003,SpinMaster Bike,799.99,USD,C01,Cardio Equipment,SC02,Exercise Bikes,S003,Strength Central,CH,Chicago,US,United States
BZP-61884,13/09/2022,P008,AirRow Pro,1099.99,USD,C01,Cardio Equipment,SC04,Rowing Machines,S003,Strength Central,CH,Chicago,US,United States
BZP-61884,13/09/2022,P015,FlexForce Band Kit,49.99,USD,C03,Functional Fitness,SC08,Resistance Bands,S003,Strength Central,CH,Chicago,US,United States
QLY-76608,23/07/2023,P007,AquaRow 500,899.99,GBP,C01,Cardio Equipment,SC04,Rowing Machines,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
CFB-37695,30/05/2022,P023,PulseRelief Massage Gun,199.99,USD,C04,Recovery and Wellness,SC12,Massage Guns,S002,Muscle Mart,LA,Los Angeles,US,United States
CFB-37695,30/05/2022,P003,SpinMaster Bike,799.99,USD,C01,Cardio Equipment,SC02,Exercise Bikes,S002,Muscle Mart,LA,Los Angeles,US,United States
CFB-37695,30/05/2022,P007,AquaRow 500,899.99,USD,C01,Cardio Equipment,SC04,Rowing Machines,S002,Muscle Mart,LA,Los Angeles,US,United States
JJR-48214,30/12/2021,P018,Adjustable Kettlebell,149.99,USD,C03,Functional Fitness,SC09,Kettlebells,S003,Strength Central,CH,Chicago,US,United States
JJR-48214,30/12/2021,P014,Leg Press Machine,899.99,USD,C02,Strength Training,SC07,Weight Machines,S003,Strength Central,CH,Chicago,US,United States
JJR-48214,30/12/2021,P025,Premium Yoga Mat,69.99,USD,C04,Recovery and Wellness,SC13,Yoga Mats,S003,Strength Central,CH,Chicago,US,United States
JJR-48214,30/12/2021,P001,Pro Runner 3000,1299.99,USD,C01,Cardio Equipment,SC01,Treadmills,S003,Strength Central,CH,Chicago,US,United States
JJR-48214,30/12/2021,P015,FlexForce Band Kit,49.99,USD,C03,Functional Fitness,SC08,Resistance Bands,S003,Strength Central,CH,Chicago,US,United States
WKK-33524,25/12/2022,P014,Leg Press Machine,899.99,USD,C02,Strength Training,SC07,Weight Machines,S003,Strength Central,CH,Chicago,US,United States
WKK-33524,25/12/2022,P007,AquaRow 500,899.99,USD,C01,Cardio Equipment,SC04,Rowing Machines,S003,Strength Central,CH,Chicago,US,United States
FNN-30044,01/08/2023,P007,AquaRow 500,899.99,USD,C01,Cardio Equipment,SC04,Rowing Machines,S002,Muscle Mart,LA,Los Angeles,US,United States
FNN-30044,01/08/2023,P003,SpinMaster Bike,799.99,USD,C01,Cardio Equipment,SC02,Exercise Bikes,S002,Muscle Mart,LA,Los Angeles,US,United States
LRK-72013,21/12/2022,P017,Cast Iron Kettlebell 16kg,59.99,USD,C03,Functional Fitness,SC09,Kettlebells,S001,FitGear Hub,NY,New York,US,United States
LRK-72013,21/12/2022,P005,Glide Elite Elliptical,999.99,USD,C01,Cardio Equipment,SC03,Ellipticals,S001,FitGear Hub,NY,New York,US,United States
TWG-65860,18/11/2022,P024,Mini Percussion Massager,79.99,USD,C04,Recovery and Wellness,SC12,Massage Guns,S001,FitGear Hub,NY,New York,US,United States
TWG-65860,18/11/2022,P008,AirRow Pro,1099.99,USD,C01,Cardio Equipment,SC04,Rowing Machines,S001,FitGear Hub,NY,New York,US,United States
TWG-65860,18/11/2022,P002,EconoTread,699.99,USD,C01,Cardio Equipment,SC01,Treadmills,S001,FitGear Hub,NY,New York,US,United States
TWG-65860,18/11/2022,P023,PulseRelief Massage Gun,199.99,USD,C04,Recovery and Wellness,SC12,Massage Guns,S001,FitGear Hub,NY,New York,US,United States
TWG-65860,18/11/2022,P021,Recovery Roller Deluxe,39.99,USD,C04,Recovery and Wellness,SC11,Foam Rollers,S001,FitGear Hub,NY,New York,US,United States
FVJ-53564,27/02/2023,P006,Compact Cross Trainer,549.99,GBP,C01,Cardio Equipment,SC03,Ellipticals,S004,Elite Gym Supply,LO,London,UK,United Kingdom
FVJ-53564,27/02/2023,P010,Cast Iron Plate Set,199.99,GBP,C02,Strength Training,SC05,Free Weights,S004,Elite Gym Supply,LO,London,UK,United Kingdom
FVJ-53564,27/02/2023,P017,Cast Iron Kettlebell 16kg,59.99,GBP,C03,Functional Fitness,SC09,Kettlebells,S004,Elite Gym Supply,LO,London,UK,United Kingdom
REF-78307,03/08/2020,P002,EconoTread,699.99,USD,C01,Cardio Equipment,SC01,Treadmills,S003,Strength Central,CH,Chicago,US,United States
REF-78307,03/08/2020,P007,AquaRow 500,899.99,USD,C01,Cardio Equipment,SC04,Rowing Machines,S003,Strength Central,CH,Chicago,US,United States
REF-78307,03/08/2020,P018,Adjustable Kettlebell,149.99,USD,C03,Functional Fitness,SC09,Kettlebells,S003,Strength Central,CH,Chicago,US,United States
REF-78307,03/08/2020,P015,FlexForce Band Kit,49.99,USD,C03,Functional Fitness,SC08,Resistance Bands,S003,Strength Central,CH,Chicago,US,United States
ZOV-70814,18/12/2021,P008,AirRow Pro,1099.99,GBP,C01,Cardio Equipment,SC04,Rowing Machines,S004,Elite Gym Supply,LO,London,UK,United Kingdom
ZOV-70814,18/12/2021,P007,AquaRow 500,899.99,GBP,C01,Cardio Equipment,SC04,Rowing Machines,S004,Elite Gym Supply,LO,London,UK,United Kingdom
ZOV-70814,18/12/2021,P019,Pro Suspension Trainer,129.99,GBP,C03,Functional Fitness,SC10,Suspension Trainers,S004,Elite Gym Supply,LO,London,UK,United Kingdom
ZOV-70814,18/12/2021,P025,Premium Yoga Mat,69.99,GBP,C04,Recovery and Wellness,SC13,Yoga Mats,S004,Elite Gym Supply,LO,London,UK,United Kingdom
ZOV-70814,18/12/2021,P017,Cast Iron Kettlebell 16kg,59.99,GBP,C03,Functional Fitness,SC09,Kettlebells,S004,Elite Gym Supply,LO,London,UK,United Kingdom
NKG-61824,09/05/2022,P016,Heavy Duty Resistance Tubes,39.99,USD,C03,Functional Fitness,SC08,Resistance Bands,S001,FitGear Hub,NY,New York,US,United States
NKG-61824,09/05/2022,P013,Multi-Gym Station,1499.99,USD,C02,Strength Training,SC07,Weight Machines,S001,FitGear Hub,NY,New York,US,United States
NKG-61824,09/05/2022,P026,Extra Thick Exercise Mat,49.99,USD,C04,Recovery and Wellness,SC13,Yoga Mats,S001,FitGear Hub,NY,New York,US,United States
NKG-61824,09/05/2022,P021,Recovery Roller Deluxe,39.99,USD,C04,Recovery and Wellness,SC11,Foam Rollers,S001,FitGear Hub,NY,New York,US,United States
NKG-61824,09/05/2022,P018,Adjustable Kettlebell,149.99,USD,C03,Functional Fitness,SC09,Kettlebells,S001,FitGear Hub,NY,New York,US,United States
EWO-88992,27/12/2020,P005,Glide Elite Elliptical,999.99,USD,C01,Cardio Equipment,SC03,Ellipticals,S003,Strength Central,CH,Chicago,US,United States
EWO-88992,27/12/2020,P001,Pro Runner 3000,1299.99,USD,C01,Cardio Equipment,SC01,Treadmills,S003,Strength Central,CH,Chicago,US,United States
EWO-88992,27/12/2020,P001,Pro Runner 3000,1299.99,USD,C01,Cardio Equipment,SC01,Treadmills,S003,Strength Central,CH,Chicago,US,United States
EWO-88992,27/12/2020,P023,PulseRelief Massage Gun,199.99,USD,C04,Recovery and Wellness,SC12,Massage Guns,S003,Strength Central,CH,Chicago,US,United States
WUW-56512,05/08/2022,P012,Olympic Flat Bench,179.99,GBP,C02,Strength Training,SC06,Weight Benches,S004,Elite Gym Supply,LO,London,UK,United Kingdom
WUW-56512,05/08/2022,P015,FlexForce Band Kit,49.99,GBP,C03,Functional Fitness,SC08,Resistance Bands,S004,Elite Gym Supply,LO,London,UK,United Kingdom
LQU-18873,11/04/2022,P019,Pro Suspension Trainer,129.99,GBP,C03,Functional Fitness,SC10,Suspension Trainers,S004,Elite Gym Supply,LO,London,UK,United Kingdom
LQU-18873,11/04/2022,P024,Mini Percussion Massager,79.99,GBP,C04,Recovery and Wellness,SC12,Massage Guns,S004,Elite Gym Supply,LO,London,UK,United Kingdom
LQU-18873,11/04/2022,P006,Compact Cross Trainer,549.99,GBP,C01,Cardio Equipment,SC03,Ellipticals,S004,Elite Gym Supply,LO,London,UK,United Kingdom
YYA-70929,01/01/2021,P019,Pro Suspension Trainer,129.99,USD,C03,Functional Fitness,SC10,Suspension Trainers,S003,Strength Central,CH,Chicago,US,United States
CMQ-92553,30/04/2022,P015,FlexForce Band Kit,49.99,USD,C03,Functional Fitness,SC08,Resistance Bands,S002,Muscle Mart,LA,Los Angeles,US,United States
CMQ-92553,30/04/2022,P017,Cast Iron Kettlebell 16kg,59.99,USD,C03,Functional Fitness,SC09,Kettlebells,S002,Muscle Mart,LA,Los Angeles,US,United States
CMQ-92553,30/04/2022,P023,PulseRelief Massage Gun,199.99,USD,C04,Recovery and Wellness,SC12,Massage Guns,S002,Muscle Mart,LA,Los Angeles,US,United States
XRR-35528,08/09/2022,P013,Multi-Gym Station,1499.99,GBP,C02,Strength Training,SC07,Weight Machines,S004,Elite Gym Supply,LO,London,UK,United Kingdom
XRR-35528,08/09/2022,P005,Glide Elite Elliptical,999.99,GBP,C01,Cardio Equipment,SC03,Ellipticals,S004,Elite Gym Supply,LO,London,UK,United Kingdom
XRR-35528,08/09/2022,P010,Cast Iron Plate Set,199.99,GBP,C02,Strength Training,SC05,Free Weights,S004,Elite Gym Supply,LO,London,UK,United Kingdom
XRR-35528,08/09/2022,P025,Premium Yoga Mat,69.99,GBP,C04,Recovery and Wellness,SC13,Yoga Mats,S004,Elite Gym Supply,LO,London,UK,United Kingdom
ZXH-27998,27/01/2022,P026,Extra Thick Exercise Mat,49.99,USD,C04,Recovery and Wellness,SC13,Yoga Mats,S002,Muscle Mart,LA,Los Angeles,US,United States
ZXH-27998,27/01/2022,P025,Premium Yoga Mat,69.99,USD,C04,Recovery and Wellness,SC13,Yoga Mats,S002,Muscle Mart,LA,Los Angeles,US,United States
ZXH-27998,27/01/2022,P018,Adjustable Kettlebell,149.99,USD,C03,Functional Fitness,SC09,Kettlebells,S002,Muscle Mart,LA,Los Angeles,US,United States
ZXH-27998,27/01/2022,P003,SpinMaster Bike,799.99,USD,C01,Cardio Equipment,SC02,Exercise Bikes,S002,Muscle Mart,LA,Los Angeles,US,United States
VNT-08947,08/09/2023,P025,Premium Yoga Mat,69.99,USD,C04,Recovery and Wellness,SC13,Yoga Mats,S002,Muscle Mart,LA,Los Angeles,US,United States
VNT-08947,08/09/2023,P002,EconoTread,699.99,USD,C01,Cardio Equipment,SC01,Treadmills,S002,Muscle Mart,LA,Los Angeles,US,United States
VNT-08947,08/09/2023,P016,Heavy Duty Resistance Tubes,39.99,USD,C03,Functional Fitness,SC08,Resistance Bands,S002,Muscle Mart,LA,Los Angeles,US,United States
VNT-08947,08/09/2023,P024,Mini Percussion Massager,79.99,USD,C04,Recovery and Wellness,SC12,Massage Guns,S002,Muscle Mart,LA,Los Angeles,US,United States
ZUO-19884,16/02/2021,P003,SpinMaster Bike,799.99,USD,C01,Cardio Equipment,SC02,Exercise Bikes,S001,FitGear Hub,NY,New York,US,United States
ZUO-19884,16/02/2021,P004,Recumbent Cycler,599.99,USD,C01,Cardio Equipment,SC02,Exercise Bikes,S001,FitGear Hub,NY,New York,US,United States
ZUO-19884,16/02/2021,P008,AirRow Pro,1099.99,USD,C01,Cardio Equipment,SC04,Rowing Machines,S001,FitGear Hub,NY,New York,US,United States
ZUO-19884,16/02/2021,P001,Pro Runner 3000,1299.99,USD,C01,Cardio Equipment,SC01,Treadmills,S001,FitGear Hub,NY,New York,US,United States
CBR-62028,17/10/2023,P014,Leg Press Machine,899.99,USD,C02,Strength Training,SC07,Weight Machines,S003,Strength Central,CH,Chicago,US,United States
NSH-28769,29/01/2022,P024,Mini Percussion Massager,79.99,USD,C04,Recovery and Wellness,SC12,Massage Guns,S001,FitGear Hub,NY,New York,US,United States
NSH-28769,29/01/2022,P008,AirRow Pro,1099.99,USD,C01,Cardio Equipment,SC04,Rowing Machines,S001,FitGear Hub,NY,New York,US,United States
CCM-99339,13/09/2020,P001,Pro Runner 3000,1299.99,GBP,C01,Cardio Equipment,SC01,Treadmills,S004,Elite Gym Supply,LO,London,UK,United Kingdom
IQH-48743,09/02/2020,P018,Adjustable Kettlebell,149.99,USD,C03,Functional Fitness,SC09,Kettlebells,S001,FitGear Hub,NY,New York,US,United States
IQH-48743,09/02/2020,P009,PowerLift Dumbbell Set,299.99,USD,C02,Strength Training,SC05,Free Weights,S001,FitGear Hub,NY,New York,US,United States
HKB-67544,09/06/2020,P007,AquaRow 500,899.99,USD,C01,Cardio Equipment,SC04,Rowing Machines,S001,FitGear Hub,NY,New York,US,United States
HKB-67544,09/06/2020,P002,EconoTread,699.99,USD,C01,Cardio Equipment,SC01,Treadmills,S001,FitGear Hub,NY,New York,US,United States
GPL-29746,29/12/2023,P016,Heavy Duty Resistance Tubes,39.99,USD,C03,Functional Fitness,SC08,Resistance Bands,S002,Muscle Mart,LA,Los Angeles,US,United States
GPL-29746,29/12/2023,P012,Olympic Flat Bench,179.99,USD,C02,Strength Training,SC06,Weight Benches,S002,Muscle Mart,LA,Los Angeles,US,United States
GPL-29746,29/12/2023,P004,Recumbent Cycler,599.99,USD,C01,Cardio Equipment,SC02,Exercise Bikes,S002,Muscle Mart,LA,Los Angeles,US,United States
GPL-29746,29/12/2023,P023,PulseRelief Massage Gun,199.99,USD,C04,Recovery and Wellness,SC12,Massage Guns,S002,Muscle Mart,LA,Los Angeles,US,United States
GWT-95212,07/05/2020,P016,Heavy Duty Resistance Tubes,39.99,USD,C03,Functional Fitness,SC08,Resistance Bands,S001,FitGear Hub,NY,New York,US,United States
GQS-43248,06/07/2023,P020,Door Anchor Straps,24.99,GBP,C03,Functional Fitness,SC10,Suspension Trainers,S004,Elite Gym Supply,LO,London,UK,United Kingdom
GQS-43248,06/07/2023,P004,Recumbent Cycler,599.99,GBP,C01,Cardio Equipment,SC02,Exercise Bikes,S004,Elite Gym Supply,LO,London,UK,United Kingdom
GQS-43248,06/07/2023,P018,Adjustable Kettlebell,149.99,GBP,C03,Functional Fitness,SC09,Kettlebells,S004,Elite Gym Supply,LO,London,UK,United Kingdom
GQS-43248,06/07/2023,P014,Leg Press Machine,899.99,GBP,C02,Strength Training,SC07,Weight Machines,S004,Elite Gym Supply,LO,London,UK,United Kingdom
GQS-43248,06/07/2023,P006,Compact Cross Trainer,549.99,GBP,C01,Cardio Equipment,SC03,Ellipticals,S004,Elite Gym Supply,LO,London,UK,United Kingdom
SLL-00467,10/11/2023,P008,AirRow Pro,1099.99,USD,C01,Cardio Equipment,SC04,Rowing Machines,S001,FitGear Hub,NY,New York,US,United States
SLL-00467,10/11/2023,P020,Door Anchor Straps,24.99,USD,C03,Functional Fitness,SC10,Suspension Trainers,S001,FitGear Hub,NY,New York,US,United States
URU-75422,08/08/2021,P023,PulseRelief Massage Gun,199.99,GBP,C04,Recovery and Wellness,SC12,Massage Guns,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
URU-75422,08/08/2021,P015,FlexForce Band Kit,49.99,GBP,C03,Functional Fitness,SC08,Resistance Bands,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
URU-75422,08/08/2021,P007,AquaRow 500,899.99,GBP,C01,Cardio Equipment,SC04,Rowing Machines,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
URU-75422,08/08/2021,P015,FlexForce Band Kit,49.99,GBP,C03,Functional Fitness,SC08,Resistance Bands,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
LKD-72505,16/12/2020,P021,Recovery Roller Deluxe,39.99,GBP,C04,Recovery and Wellness,SC11,Foam Rollers,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
LKD-72505,16/12/2020,P020,Door Anchor Straps,24.99,GBP,C03,Functional Fitness,SC10,Suspension Trainers,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
LKD-72505,16/12/2020,P005,Glide Elite Elliptical,999.99,GBP,C01,Cardio Equipment,SC03,Ellipticals,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
EMP-14530,19/10/2023,P016,Heavy Duty Resistance Tubes,39.99,USD,C03,Functional Fitness,SC08,Resistance Bands,S003,Strength Central,CH,Chicago,US,United States
HPL-98093,22/09/2022,P011,Adjustable Bench Pro,249.99,GBP,C02,Strength Training,SC06,Weight Benches,S004,Elite Gym Supply,LO,London,UK,United Kingdom
HPL-98093,22/09/2022,P011,Adjustable Bench Pro,249.99,GBP,C02,Strength Training,SC06,Weight Benches,S004,Elite Gym Supply,LO,London,UK,United Kingdom
HPL-98093,22/09/2022,P024,Mini Percussion Massager,79.99,GBP,C04,Recovery and Wellness,SC12,Massage Guns,S004,Elite Gym Supply,LO,London,UK,United Kingdom
HPL-98093,22/09/2022,P019,Pro Suspension Trainer,129.99,GBP,C03,Functional Fitness,SC10,Suspension Trainers,S004,Elite Gym Supply,LO,London,UK,United Kingdom
LBG-87966,20/10/2021,P021,Recovery Roller Deluxe,39.99,GBP,C04,Recovery and Wellness,SC11,Foam Rollers,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
LBG-87966,20/10/2021,P008,AirRow Pro,1099.99,GBP,C01,Cardio Equipment,SC04,Rowing Machines,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
LBG-87966,20/10/2021,P007,AquaRow 500,899.99,GBP,C01,Cardio Equipment,SC04,Rowing Machines,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
LBG-87966,20/10/2021,P002,EconoTread,699.99,GBP,C01,Cardio Equipment,SC01,Treadmills,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
CRS-13828,29/11/2021,P001,Pro Runner 3000,1299.99,GBP,C01,Cardio Equipment,SC01,Treadmills,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
CRS-13828,29/11/2021,P007,AquaRow 500,899.99,GBP,C01,Cardio Equipment,SC04,Rowing Machines,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
CRS-13828,29/11/2021,P006,Compact Cross Trainer,549.99,GBP,C01,Cardio Equipment,SC03,Ellipticals,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
CNN-38516,02/01/2022,P024,Mini Percussion Massager,79.99,GBP,C04,Recovery and Wellness,SC12,Massage Guns,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
CNN-38516,02/01/2022,P007,AquaRow 500,899.99,GBP,C01,Cardio Equipment,SC04,Rowing Machines,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
CNN-38516,02/01/2022,P011,Adjustable Bench Pro,249.99,GBP,C02,Strength Training,SC06,Weight Benches,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
AFH-10067,12/09/2021,P003,SpinMaster Bike,799.99,USD,C01,Cardio Equipment,SC02,Exercise Bikes,S001,FitGear Hub,NY,New York,US,United States
AFH-10067,12/09/2021,P023,PulseRelief Massage Gun,199.99,USD,C04,Recovery and Wellness,SC12,Massage Guns,S001,FitGear Hub,NY,New York,US,United States
AFH-10067,12/09/2021,P008,AirRow Pro,1099.99,USD,C01,Cardio Equipment,SC04,Rowing Machines,S001,FitGear Hub,NY,New York,US,United States
VPO-02132,29/01/2020,P003,SpinMaster Bike,799.99,GBP,C01,Cardio Equipment,SC02,Exercise Bikes,S004,Elite Gym Supply,LO,London,UK,United Kingdom
VPO-02132,29/01/2020,P020,Door Anchor Straps,24.99,GBP,C03,Functional Fitness,SC10,Suspension Trainers,S004,Elite Gym Supply,LO,London,UK,United Kingdom
VPO-02132,29/01/2020,P022,Trigger Point Grid Roller,59.99,GBP,C04,Recovery and Wellness,SC11,Foam Rollers,S004,Elite Gym Supply,LO,London,UK,United Kingdom
SPS-25906,24/01/2021,P002,EconoTread,699.99,GBP,C01,Cardio Equipment,SC01,Treadmills,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
SPS-25906,24/01/2021,P009,PowerLift Dumbbell Set,299.99,GBP,C02,Strength Training,SC05,Free Weights,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
